,Time,Polonia,Chequia,Suiza,Francia,Italia,Bélgica,Dinamarca,Suecia,Irlanda,Países Bajos,Reino Unido,Alemania
0,  2021 Noviembre (p),"4.473,862","4.698,110","2.220,403","31.485,825","36.338,226","6.008,680","2.178,621","1.574,086","6.561,863","36.734,327","11.720,918","29.201,971"
1,  2021 Octubre (p),"3.360,605","9.997,751","1.711,822","7.672,856","12.718,099","4.617,084","2.493,726","1.773,129","3.440,667","29.173,793","6.908,026","25.644,328"
2,  2021 Septiembre (p),"2.619,986","7.827,948","1.331,296","11.305,727","10.842,908","6.359,599","1.133,544","1.540,708","5.547,320","39.631,925","6.700,103","26.015,663"
3,  2021 Agosto (p),"2.627,623","3.586,898","1.031,052","7.893,321","13.490,680","11.802,737","1.636,533","1.318,356","5.301,273","16.572,673","4.030,151","39.025,092"
4,  2021 Julio (p),"2.102,901","10.212,904","1.264,930","7.513,558","16.195,542","10.413,309","1.557,271","1.475,441","4.772,880","18.454,604","3.430,143","35.785,879"
5,  2021 Junio (p),"3.388,428","10.449,205","1.160,268","9.134,338","14.147,101","13.254,148","1.643,764","2.083,160","4.013,956","16.306,432","5.285,405","34.832,457"
6,  2021 Mayo (p),"3.363,464","10.226,112","1.643,662","13.386,345","15.175,172","11.772,811","1.771,438","1.355,619","3.692,641","36.470,209","5.585,533","41.705,798"
7,  2021 Abril (p),"2.886,051","9.442,443","4.361,508","7.358,942","13.072,034","7.182,839","2.343,504","1.608,213","5.059,566","12.633,066","3.989,645","25.069,301"
8,  2021 Marzo (p),"3.759,953","9.289,201","1.464,496","8.927,103","12.944,139","25.616,531","2.305,670","17.249,702","4.266,997","24.401,167","5.563,745","38.099,255"
9,  2021 Febrero (p),"2.330,797","9.647,049","1.167,256","5.371,861","11.452,291","4.998,165","1.601,125","789,361","1.739,589","10.629,715","4.634,569","23.511,202"
10,  2021 Enero (p),"2.352,869","2.578,092","1.186,074","7.635,533","11.734,915","3.907,100","1.464,240","11.958,334","4.112,742","19.476,888","4.493,971","14.891,217"
11,  2020 (p),"29.621,460","40.571,188","16.675,842","125.182,176","150.036,726","106.900,654","48.919,467","39.778,422","48.225,974","243.275,101","122.529,912","361.502,839"
12,  2020 Diciembre (p),"2.326,685","5.118,328","928,700","5.914,502","12.642,793","11.331,371","1.849,546","1.404,474","3.022,232","22.910,349","10.111,667","36.304,086"
13,  2020 Noviembre (p),"2.007,407","3.824,172","1.505,801","25.833,830","12.119,465","4.228,252","2.564,063","864,752","3.096,262","24.851,352","10.546,344","40.860,456"
14,  2020 Octubre (p),"3.141,589","5.027,125","1.656,308","7.779,114","11.833,467","16.644,204","2.225,937","1.105,407","5.017,227","15.050,720","9.182,259","36.252,994"
15,  2020 Septiembre (p),"3.511,307","5.020,613","1.036,459","6.120,725","8.788,141","4.321,703","1.939,285","9.237,347","3.164,280","16.707,671","8.392,473","41.647,387"
16,  2020 Agosto (p),"2.036,948","1.645,395","989,933","7.972,708","11.518,480","3.261,829","1.539,703","729,425","4.663,108","15.540,085","5.661,683","15.618,247"
17,  2020 Julio (p),"1.817,175","2.295,844","1.704,922","6.998,420","10.812,171","14.031,149","12.415,967","1.815,235","4.481,294","21.247,934","6.879,155","30.146,775"
18,  2020 Junio (p),"2.530,091","3.672,373","2.049,730","24.339,671","11.054,350","2.915,405","1.263,185","2.133,877","4.022,711","24.253,910","5.429,583","23.163,480"
19,  2020 Mayo (p),"1.344,516","680,464","1.010,110","4.388,414","5.899,128","2.931,831","1.206,461","1.631,513","2.338,360","14.083,853","4.640,117","15.668,983"
20,  2020 Abril (p),"2.476,995","1.109,089","1.855,760","6.441,279","7.578,125","3.491,005","1.734,001","2.391,756","4.423,987","13.254,588","4.987,969","14.421,580"
21,  2020 Marzo (p),"2.790,733","3.720,369","1.494,654","8.311,788","11.665,257","6.225,606","2.260,795","2.736,443","5.619,713","22.013,969","16.728,541","37.710,172"
22,  2020 Febrero (p),"3.493,573","4.364,317","1.495,462","8.938,239","16.434,612","6.689,094","1.735,533","2.640,253","4.279,918","15.885,183","10.634,939","40.830,598"
23,  2020 Enero (p),"2.144,440","4.093,099","948,004","12.143,485","29.690,738","30.829,205","18.184,990","13.087,937","4.096,881","37.475,487","29.335,181","28.878,082"
24,  2019,"43.338,717","49.324,241","22.513,325","267.394,799","236.307,858","101.192,912","93.214,096","91.024,361","56.713,010","423.757,750","154.358,039","437.822,534"
25,  2019 Diciembre,"3.382,565","2.309,895","1.425,155","8.818,995","16.056,141","6.196,002","18.425,911","2.181,744","5.420,860","40.223,793","24.909,135","36.917,475"
26,  2019 Noviembre,"3.943,526","2.500,456","2.215,731","8.090,246","27.535,177","18.988,477","17.178,768","3.249,157","3.397,419","42.109,612","12.174,894","35.035,881"
27,  2019 Octubre,"3.633,998","3.353,271","1.958,736","13.071,168","35.404,690","5.562,465","3.063,578","1.948,982","5.565,074","28.494,385","17.819,156","50.706,669"
28,  2019 Septiembre,"3.379,629","4.484,931","1.301,140","43.308,791","28.529,280","5.585,251","8.547,673","1.524,801","5.147,120","18.099,580","11.148,877","23.587,550"
29,  2019 Agosto,"2.045,896","5.591,895","844,460","28.093,529","14.768,731","9.470,549","1.613,329","2.310,375","4.466,628","29.226,678","10.455,176","30.583,541"
30,  2019 Julio,"3.599,555","7.039,776","2.303,434","11.577,278","20.379,737","6.763,158","2.435,610","14.556,946","6.118,846","63.336,902","7.413,267","39.572,237"
31,  2019 Junio,"2.817,521","2.860,362","1.190,297","24.041,949","20.266,554","4.833,059","1.711,526","2.520,530","4.735,792","25.231,017","7.366,249","35.776,169"
32,  2019 Mayo,"3.026,348","4.581,262","3.282,971","21.146,215","14.132,622","5.756,976","2.485,369","18.396,424","5.029,960","62.406,793","8.243,263","35.396,890"
33,  2019 Abril,"3.390,385","4.150,524","1.957,970","40.378,254","15.522,310","6.357,646","2.750,784","2.066,655","4.937,562","28.540,863","10.386,959","38.642,135"
34,  2019 Marzo,"5.743,709","5.314,673","3.586,245","23.047,585","15.828,931","5.769,366","8.580,418","14.550,664","3.492,200","25.899,719","11.802,056","44.534,569"
35,  2019 Febrero,"3.796,848","3.144,772","1.116,634","20.981,277","14.735,088","8.635,611","11.945,656","1.812,094","4.336,886","37.435,170","22.548,566","41.227,222"
36,  2019 Enero,"4.578,740","3.992,424","1.330,552","24.839,512","13.148,597","17.274,353","14.475,475","25.905,990","4.064,662","22.753,239","10.090,443","25.842,196"
37,  2018,"40.837,459","60.444,512","28.287,087","274.745,367","236.823,831","98.466,930","101.118,997","235.122,383","56.440,176","326.648,630","175.703,989","531.630,630"
38,  2018 Diciembre,"3.594,843","9.472,127","1.474,398","11.395,317","16.758,323","5.089,907","9.345,829","36.711,115","3.722,539","23.542,535","13.230,982","44.926,029"
39,  2018 Noviembre,"3.799,914","4.052,432","2.333,084","8.115,780","28.273,507","5.827,162","2.518,324","2.023,796","4.222,802","37.998,607","16.330,582","45.017,871"
40,  2018 Octubre,"3.894,980","5.433,241","2.171,150","10.200,227","15.590,538","5.526,683","43.593,927","28.303,848","5.536,122","30.447,541","13.586,297","47.672,850"
41,  2018 Septiembre,"3.013,480","5.134,440","1.785,504","20.062,112","10.136,440","5.458,478","1.989,876","20.824,078","4.535,220","16.553,743","12.645,125","30.690,309"
42,  2018 Agosto,"3.151,623","9.361,400","1.136,005","28.374,141","16.534,484","23.541,654","1.725,541","1.174,092","6.705,367","42.158,521","15.061,771","49.871,428"
43,  2018 Julio,"3.351,332","5.923,256","3.080,434","36.817,851","17.936,001","4.449,633","4.135,830","26.437,360","5.914,826","41.253,272","20.794,896","71.631,909"
