;Belgica;Francia;Italia;Paises Bajos;Reino Unido;Alemania;Suiza;Rusia
2021M11;2488;11955;2737;5294;15072;76747;5437;...
2021M10;14955;85998;22449;64463;181892;406279;59035;630
2021M09;39484;84196;53526;84070;223743;410231;35299;1464
2021M08;39235;193358;88954;100932;261663;319149;47778;2282
2021M07;40112;113518;72281;80276;294323;385352;81714;1280
2021M06;19671;56794;36200;58040;32361;319931;29308;...
2021M05;11480;37626;11582;19843;7199;232279;26760;...
2021M04;1602;7625;731;4431;1471;80952;12468;...
2021M03;750;2225;1906;2909;1947;45134;2416;...
2021M02;198;1262;291;703;1357;5738;354;...
2021M01;404;1965;922;1117;1512;5207;1357;...
2020M12;802;1887;450;1964;1190;8398;1150;...
2020M11;396;1140;386;869;2132;8814;1734;...
2020M10;2988;17700;2684;5257;10303;30225;2153;...
2020M09;1350;20769;14157;5754;23500;26919;3686;...
2020M08;15969;73945;49774;27418;49330;138988;12800;...
2020M07;17981;49457;35436;38523;96437;247462;28548;...
2020M06;361;1486;2153;1608;9236;19936;1153;...
2020M05;0;0;0;0;0;0;0;0
2020M04;0;0;0;0;0;0;0;0
2020M03;1787;5669;961;3081;14181;66920;2879;...
2020M02;1913;6987;5328;4902;19509;110432;6388;...
2020M01;1448;3253;3208;3604;7760;54769;1729;...
2019M12;1846;8395;3419;2933;15391;69008;3878;...
2019M11;1975;8608;5582;5557;15415;108237;5966;684
2019M10;14214;64842;29927;48883;337509;466520;45825;...
2019M09;35823;94693;102521;76201;606611;645933;62384;...
2019M08;41162;161094;192856;108556;646813;593696;61803;...
2019M07;46952;147685;189340;125737;614946;624084;89557;...
2019M06;46597;98396;101837;106984;620718;641570;78608;...
2019M05;31116;106019;54115;96049;529542;536168;39401;...
2019M04;30590;54735;38073;71879;220957;447365;56221;...
2019M03;3785;9619;5375;11632;42834;213742;10109;...
2019M02;1612;4685;2499;5111;21641;110542;6798;...
2019M01;1467;4863;3128;3878;19050;69944;10034;...
2018M12;2318;5192;4125;4200;21700;97218;7554;...
