,Time,Polonia,República Checa,Francia,Italia,Bélgica,Dinamarca,Suecia,Irlanda,Países Bajos,Reino Unido,Alemania
0,2021_Acumulado,7.865.370,1.731.141,123.007.720,230.446.676,53.882.732,4.191.680,8.585.209,4.747.182,178.607.869,42.775.095,196.025.757
1,2021M11,1.026.951,66.902,12.992.763,30.885.089,4.247.049,505.164,723.796,1.018.726,35.186.304,3.161.318,23.733.996
2,2021M10,719.417,84.056,7.735.753,6.687.123,5.202.484,454.991,1.167.503,331.710,22.533.426,3.540.810,31.231.364
3,2021M09,1.183.774,265.947,7.650.884,8.474.734,7.426.750,641.261,1.410.221,1.066.762,25.881.548,3.876.277,24.229.240
4,2021M08,548.923,294.308,7.617.475,25.701.516,7.100.870,348.110,927.643,682.895,14.463.688,3.736.112,13.060.456
5,2021M07,634.551,69.859,9.395.846,47.872.835,3.907.301,242.109,605.243,313.731,14.121.936,4.916.614,24.187.760
6,2021M06,415.143,283.150,11.381.407,24.137.966,5.792.774,357.777,649.711,397.251,11.842.746,3.558.841,15.837.884
7,2021M05,1.147.328,165.094,14.392.706,9.601.867,6.160.877,387.916,945.872,291.762,11.095.813,10.186.307,15.759.399
8,2021M04,354.412,178.850,9.580.218,22.250.566,4.271.057,243.081,683.877,150.296,16.989.464,2.800.094,13.735.715
9,2021M03,913.588,244.495,24.064.865,44.132.682,4.529.563,343.023,731.368,241.612,9.136.261,3.182.186,13.083.914
10,2021M02,330.607,32.258,8.766.032,5.166.469,2.743.004,405.293,473.571,185.995,8.191.505,2.889.501,9.603.717
11,2021M01,590.677,46.222,9.429.772,5.535.829,2.501.004,262.957,266.404,66.441,9.165.179,927.033,11.562.314
12,2020_Total,6.386.438,1.622.797,91.253.645,127.501.544,49.246.201,2.724.908,7.123.063,3.784.731,116.138.911,47.012.105,227.913.177
13,2020M12,359.069,180.404,8.911.439,17.706.680,8.339.416,442.039,571.038,278.831,8.551.608,2.295.662,17.645.259
14,2020M11,462.079,74.727,4.960.450,8.402.391,3.202.041,252.901,691.739,431.067,7.084.023,2.537.855,13.726.863
15,2020M10,583.812,61.571,7.450.046,5.933.279,3.245.716,205.760,586.319,542.319,7.071.042,3.756.066,10.322.666
16,2020M09,443.726,50.496,10.230.791,5.312.004,3.200.680,272.959,552.152,181.053,6.455.762,1.508.041,17.733.652
17,2020M08,449.724,39.327,6.067.183,5.065.375,3.610.405,189.856,272.696,302.886,7.871.415,5.818.487,16.528.218
18,2020M07,603.380,55.069,6.338.979,7.237.259,5.380.874,221.412,716.272,490.699,9.589.397,4.628.074,21.153.246
19,2020M06,599.312,259.787,6.107.607,23.355.657,3.583.286,241.143,789.467,481.083,10.405.205,6.001.354,18.540.795
20,2020M05,530.941,79.506,4.509.294,4.714.637,2.962.893,119.026,537.348,304.339,15.988.287,1.737.061,17.363.421
21,2020M04,452.488,93.330,7.015.230,2.440.113,2.210.381,93.195,198.556,158.600,9.654.242,2.362.222,17.147.444
22,2020M03,500.731,324.421,15.491.996,16.741.222,4.570.168,128.614,664.807,198.009,9.399.884,7.717.602,22.471.019
23,2020M02,849.992,195.497,7.290.211,7.313.245,4.758.267,376.274,1.085.826,280.293,13.159.386,5.846.149,34.332.676
24,2020M01,551.183,208.662,6.880.420,23.279.682,4.182.074,181.728,456.842,135.552,10.908.659,2.803.532,20.947.919
25,2019_Total,8.263.568,1.891.796,138.020.446,403.762.784,66.491.957,5.486.850,11.439.751,3.936.718,110.455.742,76.560.991,307.339.512
26,2019M12,422.252,72.163,7.797.041,6.307.971,6.004.349,437.680,232.657,201.128,8.411.416,2.046.475,24.961.994
27,2019M11,452.175,122.204,9.269.854,30.421.685,4.320.125,242.218,594.349,247.938,6.348.438,2.663.210,20.791.329
28,2019M10,457.673,115.002,8.773.710,22.675.073,4.434.106,468.541,1.121.164,417.077,9.167.227,8.303.605,21.244.446
29,2019M09,635.912,143.545,7.778.411,33.371.339,5.029.389,251.473,689.762,273.854,9.123.331,6.565.930,22.357.741
30,2019M08,517.735,57.563,8.001.063,5.979.655,4.874.936,331.036,760.067,529.709,9.138.580,4.508.695,20.255.555
31,2019M07,527.531,187.826,10.603.346,91.936.450,6.310.054,544.754,1.040.552,475.785,11.159.077,10.047.246,26.179.705
32,2019M06,1.425.861,180.252,11.881.512,32.840.663,6.944.714,329.823,1.280.645,304.682,7.097.235,10.624.679,26.690.137
33,2019M05,842.267,183.855,24.421.848,38.830.796,7.332.812,403.729,838.330,356.423,7.162.171,5.374.058,30.581.190
34,2019M04,831.453,74.642,11.714.499,31.549.856,4.514.989,1.213.291,1.575.112,338.355,10.593.221,10.691.896,28.885.280
35,2019M03,921.208,400.075,11.858.738,35.339.302,6.000.531,612.068,1.640.971,386.448,8.589.709,6.524.529,27.791.516
36,2019M02,709.149,97.543,8.128.543,7.346.900,5.816.359,380.811,838.887,185.088,7.943.091,2.174.171,29.279.819
37,2019M01,520.351,257.127,17.791.881,67.163.094,4.909.593,271.426,827.256,220.230,15.722.245,7.036.497,28.320.800
38,2018_Total,6.173.831,3.426.861,125.542.020,328.209.684,83.853.952,6.085.472,52.024.194,21.955.234,122.808.142,105.553.310,291.457.588
39,2018M12,506.823,103.205,6.227.271,5.171.271,5.249.906,344.100,406.563,271.112,4.991.310,2.338.615,20.888.693
40,2018M11,442.807,130.953,13.191.250,9.121.739,5.824.420,440.791,705.094,163.536,15.958.198,10.011.656,22.907.577
41,2018M10,395.417,250.436,9.107.563,47.463.124,10.106.726,369.889,43.438.329,471.509,7.094.447,3.226.694,21.359.943
42,2018M09,381.535,225.171,9.932.614,33.372.320,5.492.807,704.095,893.589,387.623,9.180.708,13.653.071,25.132.415
43,2018M08,816.004,148.722,11.360.703,18.554.251,6.938.037,556.809,964.540,345.039,6.616.340,4.870.184,21.418.802
44,2018M07,479.237,386.732,14.316.327,26.772.700,7.293.314,434.922,911.947,397.759,8.307.503,4.384.374,24.511.483
45,2018M06,768.080,435.526,9.637.556,28.736.058,7.756.457,755.624,1.282.378,1.320.950,12.603.241,20.124.826,20.156.972
