,Time,Imports,Country,Tourist,Year
0,2019-12-08,24961994,GER,69008,2019
1,2019-11-08,20791329,GER,108237,2019
2,2019-10-08,21244446,GER,466520,2019
3,2019-09-08,22357741,GER,645933,2019
4,2019-08-08,20255555,GER,593696,2019
5,2019-07-08,26179705,GER,624084,2019
6,2019-06-08,26690137,GER,641570,2019
7,2019-05-08,30581190,GER,536168,2019
8,2019-04-08,28885280,GER,447365,2019
9,2019-03-08,27791516,GER,213742,2019
10,2019-02-08,29279819,GER,110542,2019
11,2019-01-08,28320800,GER,69944,2019
12,2018-12-08,20888693,GER,97218,2018
13,2018-11-08,22907577,GER,96660,2018
14,2018-10-08,21359943,GER,527801,2018
15,2018-09-08,25132415,GER,677642,2018
16,2018-08-08,21418802,GER,630224,2018
17,2018-07-08,24511483,GER,635472,2018
18,2018-06-08,20156972,GER,629360,2018
19,2018-05-08,33166237,GER,611396,2018
20,2018-04-08,33206201,GER,396055,2018
21,2018-03-08,22501374,GER,221780,2018
22,2018-02-08,24861654,GER,80225,2018
23,2018-01-08,21346236,GER,58389,2018
24,2017-12-08,14946819,GER,49042,2017
25,2017-11-08,19458371,GER,91861,2017
26,2017-10-08,21400409,GER,515589,2017
27,2017-09-08,19366403,GER,667850,2017
28,2017-08-08,19087339,GER,669998,2017
29,2017-07-08,20952446,GER,703657,2017
30,2017-06-08,24633919,GER,756909,2017
31,2017-05-08,21534688,GER,595890,2017
32,2017-04-08,19743909,GER,455105,2017
33,2017-03-08,22137237,GER,179432,2017
34,2017-02-08,22535661,GER,93995,2017
35,2017-01-08,14977516,GER,49356,2017
36,2016-12-08,13779678,GER,43952,2016
37,2016-11-08,21769590,GER,78277,2016
38,2016-10-08,15282967,GER,553126,2016
39,2016-09-08,15668732,GER,637899,2016
40,2016-08-08,12672736,GER,683755,2016
41,2016-07-08,14810252,GER,694927,2016
42,2016-06-08,15221411,GER,648525,2016
43,2016-05-08,14736958,GER,613574,2016
44,2016-04-08,19301140,GER,304323,2016
45,2016-03-08,14769061,GER,210991,2016
46,2016-02-08,24339588,GER,91200,2016
47,2016-01-08,17076650,GER,55191,2016
48,2015-12-08,23464988,GER,43510,2015
49,2015-11-08,17649542,GER,79886,2015
50,2015-10-08,30229180,GER,429045,2015
51,2015-09-08,17382444,GER,601455,2015
52,2015-08-08,14263300,GER,592824,2015
53,2015-07-08,22913084,GER,590917,2015
54,2015-06-08,20161856,GER,588726,2015
55,2015-05-08,27091073,GER,558845,2015
56,2015-04-08,23239374,GER,320415,2015
57,2015-03-08,20949775,GER,173454,2015
58,2015-02-08,21262694,GER,78728,2015
59,2015-01-08,16139880,GER,64411,2015
60,2014-12-08,11888486,GER,55316,2014
61,2014-11-08,12016198,GER,87157,2014
62,2014-10-08,12553889,GER,462250,2014
63,2014-09-08,14519957,GER,628420,2014
64,2014-08-08,10116716,GER,663877,2014
65,2014-07-08,19395349,GER,598780,2014
66,2014-06-08,15074602,GER,608232,2014
67,2014-05-08,16899683,GER,464188,2014
68,2014-04-08,14885891,GER,310728,2014
69,2014-03-08,9712226,GER,155747,2014
70,2014-02-08,11521949,GER,58666,2014
71,2014-01-08,13007974,GER,49099,2014
72,2013-12-08,13970467,GER,45656,2013
73,2013-11-08,6131895,GER,61668,2013
74,2013-10-08,12681725,GER,426442,2013
75,2013-09-08,5829384,GER,615308,2013
76,2013-08-08,5605825,GER,616345,2013
77,2013-07-08,8735575,GER,638938,2013
78,2013-06-08,15428104,GER,559230,2013
