Year,Country,Imports,Tourist,Inmigrants
2005,BEL,17747638,142750,1378
2005,FRA,256596485,422346,5629
2005,GBR,166784330,3366333,14968
2005,GER,83371031,3781600,22802
2005,ITA,109306051,478121,8532
2005,NLD,23556519,172038,2025
2006,BEL,28712143,117195,1486
2006,FRA,121579957,310918,6394
2006,GBR,116747808,3447394,17637
2006,GER,102640873,4003385,26293
2006,ITA,111575248,487719,10135
2006,NLD,37519727,191496,2346
2007,BEL,19114967,109681,1562
2007,FRA,110256603,335848,7126
2007,GBR,106224664,3525655,19803
2007,GER,102541900,3908482,29189
2007,ITA,236376240,485611,11933
2007,NLD,62564505,191196,2634
2008,BEL,33092121,102444,1703
2008,FRA,64085112,366348,7876
2008,GBR,171661427,3418300,22055
2008,GER,161168747,4061460,33208
2008,ITA,140696960,448467,14171
2008,NLD,30055089,222845,2950
2009,BEL,15329556,127575,1781
2009,FRA,91099272,356018,8250
2009,GBR,48841294,2827203,23116
2009,GER,105520222,3611838,34972
2009,ITA,95696457,451121,15715
2009,NLD,27977314,204112,3102
2010,BEL,20661495,115804,1816
2010,FRA,43772291,327772,8610
2010,GBR,38394097,2739820,23561
2010,GER,86566959,3598764,36003
2010,ITA,97976180,589149,16800
2010,NLD,24513353,306702,3184
2011,BEL,19361328,126253,1872
2011,FRA,139327815,424253,8741
2011,GBR,56229185,2959088,23698
2011,GER,79773783,3690542,36681
2011,ITA,223963259,666025,17569
2011,NLD,20391227,362928,3313
2012,BEL,15542615,136029,1913
2012,FRA,143681109,473401,8976
2012,GBR,36001205,3105151,23804
2012,GER,96811269,3797886,36758
2012,ITA,327481161,586094,18385
2012,NLD,16389395,344799,3393
2013,BEL,23930846,139412,1724
2013,FRA,43365010,458394,7978
2013,GBR,66149463,3341104,21934
2013,GER,110445370,4087062,30049
2013,ITA,246391542,564902,17458
2013,NLD,19961065,371589,3109
2014,BEL,40007970,186405,1463
2014,FRA,127574763,477620,6859
2014,GBR,61001686,3384887,18454
2014,GER,161592920,4142460,23666
2014,ITA,215110658,622857,16398
2014,NLD,140578966,381844,2764
2015,BEL,47811028,216173,1348
2015,FRA,133259605,522315,6641
2015,GBR,188246488,3509864,17516
2015,GER,254747190,4122216,22285
2015,ITA,235080290,700823,16452
2015,NLD,136244471,390883,2723
2016,BEL,51785822,226760,1298
2016,FRA,136921268,634142,6358
2016,GBR,87479326,3633336,16134
2016,GER,199428763,4615740,20451
2016,ITA,220978781,684653,16636
2016,NLD,104337393,628503,2639
2017,BEL,88102616,239700,1306
2017,FRA,129667601,584200,6108
2017,GBR,87771466,3748206,14981
2017,GER,240774717,4828684,19209
2017,ITA,332644073,746774,16877
2017,NLD,158501119,601801,2618
2018,BEL,83853953,261871,1278
2018,FRA,125542020,715951,6020
2018,GBR,105553312,3691647,14753
2018,GER,291457587,4662222,18895
2018,ITA,328209685,751188,18072
2018,NLD,122808143,689644,2703
2019,BEL,66491957,257139,1298
2019,FRA,138020446,763634,6242
2019,GBR,76560991,3691427,14953
2019,GER,307339512,4526809,18922
2019,ITA,403762784,728672,19500
2019,NLD,110455741,663400,2810
