,Time,Imports,Country,Tourists,Year
0,2019-12-08,36917476.5625,GER,270865,2019
1,2019-11-08,35035882.8125,GER,270307,2019
2,2019-10-08,50706667.96875,GER,213744,2019
3,2019-09-08,23587550.78125,GER,182978,2019
4,2019-08-08,30583541.015625,GER,187302,2019
5,2019-07-08,39572238.28125,GER,192780,2019
6,2019-06-08,35776167.96875,GER,183769,2019
7,2019-05-08,35396890.625,GER,174074,2019
8,2019-04-08,38642136.71875,GER,243608,2019
9,2019-03-08,44534570.3125,GER,303177,2019
10,2019-02-08,41227222.65625,GER,262665,2019
11,2019-01-08,25842195.3125,GER,276343,2019
12,2018-12-08,44926027.34375,GER,305171,2018
13,2018-11-08,45017871.09375,GER,295568,2018
14,2018-10-08,47672851.5625,GER,284985,2018
15,2018-09-08,30690308.59375,GER,250696,2018
16,2018-08-08,49871429.6875,GER,248568,2018
17,2018-07-08,71631906.25,GER,264152,2018
18,2018-06-08,48017332.03125,GER,233624,2018
19,2018-05-08,39618160.15625,GER,212939,2018
20,2018-04-08,52248468.75,GER,249748,2018
21,2018-03-08,37218097.65625,GER,315030,2018
22,2018-02-08,31440185.546875,GER,279835,2018
23,2018-01-08,33277988.28125,GER,280915,2018
24,2017-12-08,42489937.5,GER,306053,2017
25,2017-11-08,52463519.53125,GER,314982,2017
26,2017-10-08,38990167.96875,GER,304617,2017
27,2017-09-08,38776218.75,GER,253128,2017
28,2017-08-08,34974042.96875,GER,236492,2017
29,2017-07-08,42883988.28125,GER,251542,2017
30,2017-06-08,41756753.90625,GER,227502,2017
31,2017-05-08,43948964.84375,GER,216760,2017
32,2017-04-08,47070859.375,GER,287903,2017
33,2017-03-08,47789781.25,GER,298033,2017
34,2017-02-08,46934074.21875,GER,274615,2017
35,2017-01-08,25318246.09375,GER,279277,2017
36,2016-12-08,65758117.1875,GER,295249,2016
37,2016-11-08,39157226.5625,GER,296833,2016
38,2016-10-08,44597019.53125,GER,289814,2016
39,2016-09-08,40982183.59375,GER,235362,2016
40,2016-08-08,33154203.125,GER,242795,2016
41,2016-07-08,33977140.625,GER,254774,2016
42,2016-06-08,41641011.71875,GER,219120,2016
43,2016-05-08,29305355.46875,GER,222937,2016
44,2016-04-08,38558769.53125,GER,261692,2016
45,2016-03-08,30433429.6875,GER,295985,2016
46,2016-02-08,28931341.796875,GER,274224,2016
47,2016-01-08,25083726.5625,GER,277658,2016
48,2015-12-08,31844275.390625,GER,268862,2015
49,2015-11-08,36458664.0625,GER,296197,2015
50,2015-10-08,31970611.328125,GER,250916,2015
51,2015-09-08,31041607.421875,GER,207164,2015
52,2015-08-08,36071042.96875,GER,216323,2015
53,2015-07-08,34051933.59375,GER,207021,2015
54,2015-06-08,38306585.9375,GER,185841,2015
55,2015-05-08,27386978.515625,GER,194125,2015
56,2015-04-08,29706144.53125,GER,220345,2015
57,2015-03-08,38951789.0625,GER,285111,2015
58,2015-02-08,28346787.109375,GER,258672,2015
59,2015-01-08,22771802.734375,GER,278307,2015
60,2014-12-08,26269968.75,GER,278958,2014
61,2014-11-08,27895302.734375,GER,289762,2014
62,2014-10-08,35899535.15625,GER,241016,2014
63,2014-09-08,32491937.5,GER,215027,2014
64,2014-08-08,26911693.359375,GER,230255,2014
65,2014-07-08,27521470.703125,GER,213334,2014
66,2014-06-08,33772722.65625,GER,195329,2014
67,2014-05-08,30496285.15625,GER,187575,2014
68,2014-04-08,29520101.5625,GER,246159,2014
69,2014-03-08,34380332.03125,GER,286938,2014
70,2014-02-08,30091261.71875,GER,253286,2014
71,2014-01-08,26527494.140625,GER,268436,2014
72,2013-12-08,24609507.8125,GER,280559,2013
73,2013-11-08,26495921.875,GER,294112,2013
74,2013-10-08,35212378.90625,GER,227922,2013
75,2013-09-08,26777849.609375,GER,201317,2013
76,2013-08-08,19786191.40625,GER,188722,2013
77,2013-07-08,33608679.6875,GER,191272,2013
78,2013-06-08,21837673.828125,GER,168178,2013
79,2013-05-08,17661171.875,GER,161403,2013
80,2013-04-08,22107185.546875,GER,188278,2013
81,2013-03-08,21609792.96875,GER,248359,2013
82,2013-02-08,20786019.53125,GER,219869,2013
83,2013-01-08,25463353.515625,GER,227102,2013
84,2012-12-08,22916255.859375,GER,234951,2012
85,2012-11-08,25759048.828125,GER,239276,2012
86,2012-10-08,29055091.796875,GER,226093,2012
87,2012-09-08,24509402.34375,GER,204767,2012
88,2012-08-08,27134351.5625,GER,191452,2012
89,2012-07-08,30316443.359375,GER,211860,2012
90,2012-06-08,28959656.25,GER,176947,2012
91,2012-05-08,25535455.078125,GER,168686,2012
92,2012-04-08,25145537.109375,GER,213017,2012
93,2012-03-08,30415839.84375,GER,267062,2012
94,2012-02-08,28334972.65625,GER,248580,2012
95,2012-01-08,19442890.625,GER,259947,2012
96,2011-12-08,31930310.546875,GER,250698,2011
97,2011-11-08,35749589.84375,GER,277568,2011
98,2011-10-08,32837636.71875,GER,240189,2011
99,2011-09-08,27751906.25,GER,196511,2011
100,2011-08-08,24740351.5625,GER,201804,2011
101,2011-07-08,29789996.09375,GER,211560,2011
102,2011-06-08,27909029.296875,GER,175144,2011
103,2011-05-08,29418644.53125,GER,167160,2011
104,2011-04-08,29564671.875,GER,238223,2011
105,2011-03-08,36288984.375,GER,267331,2011
106,2011-02-08,28653423.828125,GER,248661,2011
107,2011-01-08,32102546.875,GER,245304,2011
108,2010-12-08,26995271.484375,GER,212873,2010
109,2010-11-08,37565101.5625,GER,241610,2010
110,2010-10-08,30836189.453125,GER,212144,2010
111,2010-09-08,25213328.125,GER,178417,2010
112,2010-08-08,23623875.0,GER,178965,2010
113,2010-07-08,30202781.25,GER,183208,2010
114,2010-06-08,34803585.9375,GER,156050,2010
115,2010-05-08,27457791.015625,GER,158413,2010
116,2010-04-08,29816687.5,GER,160178,2010
117,2010-03-08,37128933.59375,GER,219789,2010
118,2010-02-08,26067996.09375,GER,202831,2010
119,2010-01-08,21960140.625,GER,219073,2010
120,2009-12-08,49145683.59375,GER,201046,2009
121,2009-11-08,32056396.484375,GER,224745,2009
122,2009-10-08,32066150.390625,GER,189951,2009
123,2009-09-08,40720144.53125,GER,157843,2009
124,2009-08-08,18720275.390625,GER,166643,2009
125,2009-07-08,27747962.890625,GER,160389,2009
126,2009-06-08,22173701.171875,GER,144092,2009
127,2009-05-08,23250894.53125,GER,151331,2009
128,2009-04-08,32072427.734375,GER,203051,2009
129,2009-03-08,25519341.796875,GER,217214,2009
130,2009-02-08,31034156.25,GER,195951,2009
131,2009-01-08,15944840.8203125,GER,217664,2009
132,2008-12-08,32988527.34375,GER,215065,2008
133,2008-11-08,40748546.875,GER,255290,2008
134,2008-10-08,46253070.3125,GER,201374,2008
135,2008-09-08,48596441.40625,GER,182848,2008
136,2008-08-08,29096257.8125,GER,187781,2008
137,2008-07-08,34888886.71875,GER,177467,2008
138,2008-06-08,61751722.65625,GER,171386,2008
139,2008-05-08,65613117.1875,GER,171062,2008
140,2008-04-08,55160468.75,GER,219061,2008
141,2008-03-08,54724425.78125,GER,269573,2008
142,2008-02-08,46685191.40625,GER,229309,2008
143,2008-01-08,37711613.28125,GER,220854,2008
144,2007-12-08,49833382.8125,GER,231432,2007
145,2007-11-08,54194441.40625,GER,249784,2007
146,2007-10-08,96749109.375,GER,219879,2007
147,2007-09-08,42960222.65625,GER,201550,2007
148,2007-08-08,33835453.125,GER,182340,2007
149,2007-07-08,45967722.65625,GER,193843,2007
150,2007-06-08,52040132.8125,GER,176446,2007
151,2007-05-08,47321988.28125,GER,165721,2007
152,2007-04-08,42528242.1875,GER,231634,2007
153,2007-03-08,53020132.8125,GER,273646,2007
154,2007-02-08,40148402.34375,GER,225881,2007
155,2007-01-08,43302300.78125,GER,222609,2007
156,2006-12-08,43035312.5,GER,223755,2006
157,2006-11-08,49340109.375,GER,260369,2006
158,2006-10-08,44385804.6875,GER,232901,2006
159,2006-09-08,40295324.21875,GER,208054,2006
160,2006-08-08,48497218.75,GER,193637,2006
161,2006-07-08,39303046.875,GER,208938,2006
162,2006-06-08,40261675.78125,GER,179027,2006
163,2006-05-08,44125382.8125,GER,179960,2006
164,2006-04-08,37993390.625,GER,264027,2006
165,2006-03-08,46102308.59375,GER,265982,2006
166,2006-02-08,69468875.0,GER,218691,2006
167,2006-01-08,30616324.21875,GER,222445,2006
168,2005-12-08,41931152.34375,GER,216626,2005
169,2005-11-08,39801199.21875,GER,262592,2005
170,2005-10-08,62426808.59375,GER,251634,2005
171,2005-09-08,29444117.1875,GER,194966,2005
172,2005-08-08,46467785.15625,GER,192759,2005
173,2005-07-08,38095316.40625,GER,198594,2005
174,2005-06-08,31055412.109375,GER,157369,2005
175,2005-05-08,43757464.84375,GER,164637,2005
176,2005-04-08,33798394.53125,GER,225162,2005
177,2005-03-08,28582691.40625,GER,251290,2005
178,2005-02-08,39081089.84375,GER,225601,2005
179,2005-01-08,38390847.65625,GER,242720,2005
180,2004-12-08,44582121.09375,GER,213019,2004
181,2004-11-08,29353824.21875,GER,262076,2004
182,2004-10-08,35612464.84375,GER,241510,2004
183,2004-09-08,30216826.171875,GER,198545,2004
184,2004-08-08,35074867.1875,GER,200425,2004
185,2004-07-08,31434494.140625,GER,183042,2004
186,2004-06-08,33588898.4375,GER,149491,2004
187,2004-05-08,24102925.78125,GER,176490,2004
188,2004-04-08,34707988.28125,GER,207514,2004
189,2004-03-08,36446140.625,GER,255536,2004
190,2004-02-08,28801640.625,GER,238342,2004
191,2004-01-08,27293080.078125,GER,211352,2004
192,2003-12-08,48875800.78125,GER,210537,2003
193,2003-11-08,32800253.90625,GER,262686,2003
194,2003-10-08,43546261.71875,GER,236323,2003
195,2003-09-08,27167166.015625,GER,207586,2003
196,2003-08-08,25782841.796875,GER,226552,2003
197,2003-07-08,36161554.6875,GER,203991,2003
198,2003-06-08,29476462.890625,GER,180210,2003
199,2003-05-08,35588386.71875,GER,197631,2003
200,2003-04-08,30014912.109375,GER,267891,2003
201,2003-03-08,39251511.71875,GER,301324,2003
202,2003-02-08,35409363.28125,GER,237322,2003
203,2003-01-08,30291820.3125,GER,211940,2003
204,2002-12-08,42966332.03125,GER,223275,2002
205,2002-11-08,32288626.953125,GER,270283,2002
206,2002-10-08,35764660.15625,GER,236408,2002
207,2002-09-08,33996121.09375,GER,220837,2002
208,2002-08-08,24345404.296875,GER,207111,2002
209,2002-07-08,31539314.453125,GER,202826,2002
210,2002-06-08,28219267.578125,GER,183172,2002
211,2002-05-08,33419062.5,GER,172941,2002
212,2002-04-08,30307410.15625,GER,220297,2002
213,2002-03-08,24733472.65625,GER,306886,2002
214,2002-02-08,27324058.59375,GER,254271,2002
215,2002-01-08,25429087.890625,GER,194604,2002
216,2001-12-08,29733435.546875,GER,225297,2001
217,2001-11-08,37918832.03125,GER,266740,2001
218,2001-10-08,33781289.0625,GER,255074,2001
219,2001-09-08,27740457.03125,GER,244333,2001
220,2001-08-08,29039417.96875,GER,209533,2001
221,2001-07-08,35376265.625,GER,235740,2001
222,2001-06-08,38393031.25,GER,203511,2001
223,2001-05-08,40595273.4375,GER,196775,2001
224,2001-04-08,37528785.15625,GER,280610,2001
225,2001-03-08,44409546.875,GER,305534,2001
226,2001-02-08,28861960.9375,GER,256531,2001
227,2001-01-08,52260683.59375,GER,226898,2001
228,2000-12-08,31226146.484375,GER,236007,2000
229,2000-11-08,37024484.375,GER,280911,2000
230,2000-10-08,41345652.34375,GER,273635,2000
231,2000-09-08,30101517.578125,GER,234220,2000
232,2000-08-08,34043886.71875,GER,219872,2000
233,2000-07-08,49953222.65625,GER,248871,2000
234,2000-06-08,39799011.71875,GER,186800,2000
235,2000-05-08,38203433.59375,GER,205663,2000
236,2000-04-08,30831519.53125,GER,281175,2000
237,2000-03-08,40891207.03125,GER,285869,2000
238,2000-02-08,29782220.703125,GER,243236,2000
239,2000-01-08,31775371.09375,GER,223905,2000
0,2019-12-08,24909134.765625,GBR,415067,2019
1,2019-11-08,12174893.5546875,GBR,385232,2019
2,2019-10-08,17819156.25,GBR,438901,2019
3,2019-09-08,11148876.953125,GBR,422997,2019
4,2019-08-08,10455175.78125,GBR,457426,2019
5,2019-07-08,7413267.08984375,GBR,453701,2019
6,2019-06-08,7366249.0234375,GBR,434361,2019
7,2019-05-08,8243262.6953125,GBR,425292,2019
8,2019-04-08,10386958.984375,GBR,448962,2019
9,2019-03-08,11802055.6640625,GBR,473874,2019
10,2019-02-08,22548566.40625,GBR,404204,2019
11,2019-01-08,10090443.359375,GBR,378997,2019
12,2018-12-08,13230982.421875,GBR,426639,2018
13,2018-11-08,16330582.03125,GBR,407494,2018
14,2018-10-08,13586296.875,GBR,491142,2018
15,2018-09-08,12645125.0,GBR,445499,2018
16,2018-08-08,15061771.484375,GBR,454952,2018
17,2018-07-08,20794896.484375,GBR,456278,2018
18,2018-06-08,25212558.59375,GBR,436699,2018
19,2018-05-08,9995598.6328125,GBR,426913,2018
20,2018-04-08,10219835.9375,GBR,432655,2018
21,2018-03-08,9267734.375,GBR,469381,2018
22,2018-02-08,9975139.6484375,GBR,396650,2018
23,2018-01-08,19383468.75,GBR,373157,2018
24,2017-12-08,12715247.0703125,GBR,430042,2017
25,2017-11-08,14980331.0546875,GBR,404694,2017
26,2017-10-08,14297995.1171875,GBR,487731,2017
27,2017-09-08,23711218.75,GBR,490001,2017
28,2017-08-08,20115972.65625,GBR,516957,2017
29,2017-07-08,17161873.046875,GBR,519260,2017
30,2017-06-08,17207992.1875,GBR,484593,2017
31,2017-05-08,7996380.859375,GBR,460961,2017
32,2017-04-08,7902530.76171875,GBR,494723,2017
33,2017-03-08,20704037.109375,GBR,465328,2017
34,2017-02-08,9511069.3359375,GBR,406828,2017
35,2017-01-08,9733745.1171875,GBR,375111,2017
36,2016-12-08,13845950.1953125,GBR,445498,2016
37,2016-11-08,14076132.8125,GBR,387039,2016
38,2016-10-08,13181184.5703125,GBR,491803,2016
39,2016-09-08,12512093.75,GBR,445735,2016
40,2016-08-08,8669538.0859375,GBR,472647,2016
41,2016-07-08,9311339.84375,GBR,473214,2016
42,2016-06-08,7510962.890625,GBR,424148,2016
43,2016-05-08,7202136.23046875,GBR,402682,2016
44,2016-04-08,11192513.671875,GBR,400516,2016
45,2016-03-08,10564457.03125,GBR,426935,2016
46,2016-02-08,9711249.0234375,GBR,361463,2016
47,2016-01-08,9683701.171875,GBR,323404,2016
48,2015-12-08,11904744.140625,GBR,357603,2015
49,2015-11-08,15276414.0625,GBR,343470,2015
50,2015-10-08,13783452.1484375,GBR,434377,2015
51,2015-09-08,12595788.0859375,GBR,369655,2015
52,2015-08-08,8387996.09375,GBR,402231,2015
53,2015-07-08,7170412.109375,GBR,396750,2015
54,2015-06-08,9368194.3359375,GBR,349364,2015
55,2015-05-08,8075884.765625,GBR,346342,2015
56,2015-04-08,8714992.1875,GBR,339662,2015
57,2015-03-08,9286638.671875,GBR,356235,2015
58,2015-02-08,10118904.296875,GBR,300059,2015
59,2015-01-08,6097172.8515625,GBR,283644,2015
60,2014-12-08,11581468.75,GBR,309968,2014
61,2014-11-08,14646116.2109375,GBR,300993,2014
62,2014-10-08,11586578.125,GBR,403387,2014
63,2014-09-08,11284999.0234375,GBR,360940,2014
64,2014-08-08,7360065.91796875,GBR,390628,2014
65,2014-07-08,6902780.76171875,GBR,388228,2014
66,2014-06-08,24961691.40625,GBR,343292,2014
67,2014-05-08,7784895.99609375,GBR,342567,2014
68,2014-04-08,10797074.21875,GBR,355152,2014
69,2014-03-08,9441985.3515625,GBR,343775,2014
70,2014-02-08,10008640.625,GBR,294737,2014
71,2014-01-08,9144782.2265625,GBR,272383,2014
72,2013-12-08,10841386.71875,GBR,298799,2013
73,2013-11-08,12933804.6875,GBR,303473,2013
74,2013-10-08,13080188.4765625,GBR,361882,2013
